Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Residential,5,1,No,Negligence,Medium,49,8,No,1,0,No,No,Over 3 years,16.938684900025546,79.63427420373662,2.309402219005025,2.827632029916103
Residential,19,5,Yes,Negligence,Large,33,8,No,10,16,No,No,Over 3 years,20.875443563170357,90.51653838119918,3.256838709210468,27.50242012909627
Residential,27,8,Yes,Chemical,Medium,35,1,Yes,9,7,No,No,None,17.79165487078476,47.39605691377737,2.39074410376283,64.75371162407595
Residential,40,12,Yes,Chemical,Medium,13,5,No,11,7,No,No,Over 3 years,16.29214388636461,75.07809437542906,2.85632673597204,38.007516778768846
Residential,29,8,No,Chemical,Medium,8,9,Yes,3,4,No,No,Over 3 years,21.80982105220733,51.43343291531016,3.3923983401086297,29.650393728763284
Commercial,13,3,No,Negligence,Small,50,1,Yes,2,0,No,Yes,Within 1 year,21.13339782646037,62.617993740421554,4.809154874807829,4.167040219596842
Commercial,35,10,Yes,Negligence,Small,6,7,No,8,7,No,No,None,17.63313724079757,47.25396998775156,1.878771479918636,2.3
Commercial,35,10,No,Chemical,Small,28,6,No,8,7,No,Yes,None,23.477073798693475,75.13868854808894,0.6,46.90542029674236
Residential,8,2,No,Negligence,Medium,49,3,No,3,3,No,No,Within 1 year,21.134220794161525,67.6686135795131,3.7225236011004696,49.84354322485379
Commercial,34,10,Yes,Chemical,Small,8,5,Yes,9,6,No,Yes,None,23.425210373623603,91.74263423176882,1.36769271736564,15.376547906909764
Commercial,26,7,No,Chemical,Medium,44,2,No,6,4,Yes,No,Over 3 years,21.71996974610009,86.19735297281404,2.4494934959956014,44.01274705774362
Commercial,32,9,Yes,Negligence,Small,33,2,Yes,10,5,Yes,Yes,1-3 years,29.7,78.05203210935353,3.203402327915537,43.58114941843038
Residential,25,8,No,Chemical,Medium,11,4,No,3,0,No,No,Over 3 years,20.53656922840106,68.48959380035393,2.051288978812912,2.3
Residential,5,1,Yes,Chemical,Medium,25,1,No,1,4,No,Yes,None,20.063481824972712,61.39749008327538,2.830817407930931,20.706958474163965
Residential,23,7,No,Negligence,Large,39,6,No,7,11,No,No,None,27.776631638500053,56.25068188108208,4.069864604783314,2.3
Industrial,27,7,Yes,Electrical,Small,23,6,No,7,7,No,Yes,None,23.697536120590385,99.4,2.155773796309393,30.68855699014976
Residential,23,7,No,Chemical,Large,25,8,Yes,2,4,No,No,Over 3 years,27.9464982362746,57.30027611351025,1.858012281557088,50.62342409415641
Commercial,41,12,No,Electrical,Medium,36,7,No,8,13,Yes,Yes,1-3 years,26.511855855972463,61.3024977322784,2.1930617162431223,41.71120643946789
Residential,18,5,No,Chemical,Small,20,7,Yes,5,7,No,No,Over 3 years,24.01596548968304,99.4,0.6,6.854311981974583
Commercial,5,2,Yes,Negligence,Medium,40,4,No,2,2,No,No,Over 3 years,28.31737048020454,85.89774602518932,3.4847531639905567,41.14110294805043
Residential,16,5,Yes,Electrical,Medium,25,6,Yes,9,9,Yes,No,Within 1 year,15.1,79.79304665319592,2.755914345010038,76.8947846221809
Residential,7,2,Yes,Negligence,Large,24,8,No,2,7,No,No,Within 1 year,15.1,67.44620677824076,2.3854499801239446,46.10972853049127
Industrial,31,9,Yes,Chemical,Medium,10,6,Yes,6,8,No,No,None,28.2095058730493,69.21509398280158,3.634266220948178,34.61841266764504
Residential,14,4,No,Chemical,Medium,22,8,Yes,10,16,No,No,Over 3 years,24.181732619942235,71.06319444193,3.630377471110896,69.15214464823998
Commercial,25,7,Yes,Chemical,Small,34,6,Yes,9,10,No,No,None,24.095181702389716,91.79456775503196,1.198578448183025,94.1
Industrial,27,7,No,Negligence,Large,40,6,No,8,4,No,No,Over 3 years,27.140651918617117,99.4,1.566432077187913,23.448978330916766
Residential,43,12,No,Chemical,Large,10,7,No,9,9,Yes,No,Within 1 year,15.65733010413491,68.82492320337161,2.505899640695251,24.220131550830512
Commercial,19,5,No,Negligence,Medium,21,4,Yes,8,4,No,Yes,Within 1 year,24.62697186617269,90.01415358348937,3.26400116760688,27.11158737460955
Residential,45,13,No,Negligence,Medium,29,7,Yes,11,12,No,No,Over 3 years,25.04655767302042,79.2470556216486,0.7547500290044735,68.52821889208612
Residential,13,3,No,Chemical,Medium,32,5,No,4,0,Yes,Yes,Over 3 years,16.908221194907092,99.4,1.003520879025001,45.72032643229252
Residential,31,8,No,Chemical,Medium,36,3,Yes,6,14,No,No,Over 3 years,19.715892177545832,69.39164740980095,2.6874401471728167,15.730850070879914
Commercial,36,11,No,Negligence,Medium,16,6,No,10,11,No,Yes,Within 1 year,20.085807287328617,81.84357899178647,1.4688033218140704,63.77278616387834
Commercial,29,8,No,Negligence,Medium,5,10,Yes,12,5,No,No,1-3 years,16.90215538340393,88.3601960672437,3.522754898022145,42.9204315696106
Commercial,33,9,No,Negligence,Small,32,4,Yes,10,10,Yes,Yes,None,20.258676115787345,71.80836366894943,4.1497805722866445,58.87786480132961
Commercial,30,8,No,Chemical,Medium,41,5,Yes,12,6,No,Yes,Over 3 years,18.002385353098003,76.1893290962343,3.300761071974581,58.87166019251052
Industrial,19,6,Yes,Chemical,Small,22,9,Yes,8,13,No,No,None,18.534985238687558,57.78688887377849,1.1358240003099431,64.86254603704467
Industrial,32,9,Yes,Negligence,Medium,27,8,Yes,6,4,No,No,Over 3 years,20.279356325678712,49.09338615837035,3.32065974958316,56.88773801392317
Industrial,27,8,Yes,Chemical,Small,15,4,Yes,6,9,No,No,None,29.7,84.93333437515878,0.8750573714395167,21.35878851518677
Residential,5,2,No,Negligence,Medium,43,6,Yes,2,8,No,Yes,Over 3 years,15.613036832644564,63.11303868194626,2.777485140316764,66.22326017274892
Commercial,32,9,Yes,Negligence,Large,16,3,Yes,9,8,No,No,None,21.79582923255086,98.08781120067086,2.987890727008508,11.60705044921653
Residential,27,7,No,Electrical,Small,20,6,Yes,9,15,Yes,Yes,Within 1 year,19.109373446106563,93.18676184354528,1.9232815911944217,75.5111663818185
Commercial,30,10,No,Negligence,Small,48,6,No,8,10,Yes,No,1-3 years,26.031216731492503,68.65238370963276,1.9480548478117965,40.65469606329757
Commercial,27,8,No,Chemical,Small,39,6,Yes,8,7,No,No,None,27.542443830068272,76.89152921990305,1.0621634700524991,6.020528207735655
Residential,32,9,Yes,Chemical,Small,0,3,No,7,5,No,Yes,Over 3 years,15.1,65.04251996670553,3.1031613809539698,15.408516319711769
Residential,28,8,No,Chemical,Medium,39,2,Yes,9,4,No,No,None,19.35861034989066,69.16237753016433,4.9,7.407052234732731
Residential,49,14,No,Chemical,Small,35,4,Yes,10,6,No,No,None,19.81686785829145,40.4,4.0689619119358005,2.426728700929204
Residential,20,5,Yes,Electrical,Medium,19,4,Yes,6,8,No,No,Over 3 years,17.150619646805783,93.8700566429487,3.2133104688729324,33.372041052276984
Residential,45,13,No,Chemical,Large,31,4,Yes,8,5,No,No,Within 1 year,23.339173197973714,46.28849628235204,1.5596278095009777,58.08045052400064
Residential,9,2,No,Electrical,Small,44,5,Yes,4,0,No,No,Within 1 year,18.783879436380147,91.95766347475134,4.779758013674101,2.3
Residential,20,6,No,Chemical,Large,7,2,No,3,0,No,No,Within 1 year,27.176690043497803,73.59735677246333,0.903436837142012,2.3
Commercial,44,13,No,Negligence,Medium,30,8,No,12,10,No,No,Within 1 year,24.81104057391793,80.08026467821585,1.775336198199514,2.3
Commercial,49,14,No,Chemical,Small,21,9,No,11,8,No,No,Over 3 years,26.20396767146568,72.22953797805931,1.616375636985197,13.61940547802534
Residential,21,6,No,Negligence,Medium,14,7,No,10,19,No,No,Over 3 years,23.07008654293375,77.85976496033555,1.3267449679211585,47.54042581579544
Residential,17,5,Yes,Negligence,Small,32,9,Yes,2,0,Yes,No,Within 1 year,15.1,68.03025180508908,4.834686280351489,11.49170245537086
Industrial,21,6,No,Negligence,Small,39,5,Yes,2,3,No,No,None,26.01694686977216,60.49050305050845,2.0204770271413297,11.140971209579572
Commercial,6,1,Yes,Negligence,Small,38,3,Yes,1,0,No,No,1-3 years,18.37073811437492,47.37540212267533,3.687171967533824,19.900685114773808
Residential,43,13,Yes,Chemical,Small,9,5,Yes,12,12,Yes,Yes,None,23.954928122301396,91.93487160040468,2.3176365078482397,45.46347684714144
Residential,36,10,Yes,Negligence,Small,33,6,Yes,15,11,No,No,Within 1 year,15.1,77.43733405268466,3.533990391910165,77.93276356584468
Commercial,25,7,No,Negligence,Medium,22,10,No,3,11,No,No,None,22.29874471837421,53.26162203113002,1.363000067466434,67.30089997671752
Commercial,38,11,No,Negligence,Medium,50,5,Yes,11,15,No,Yes,None,20.675964408746847,76.17805185270882,2.91587331015892,67.72588404738137
Industrial,11,3,Yes,Negligence,Small,18,5,Yes,4,12,Yes,No,Within 1 year,23.4129788975647,84.11804823683983,2.9075810109965383,56.940372608294936
Commercial,22,6,No,Negligence,Medium,24,9,Yes,6,13,No,No,None,24.965900951109443,54.263566123215455,2.121117108687031,71.26050656140174
Commercial,22,6,Yes,Chemical,Medium,50,2,Yes,9,8,No,No,None,20.7813716623246,44.05228797501274,3.118054295781256,61.31152484711869
Residential,32,9,Yes,Chemical,Medium,24,6,No,9,5,No,Yes,Within 1 year,22.686536884521463,73.98478270068308,1.997853441408489,45.16669475025221
Residential,33,9,No,Negligence,Small,22,6,No,10,14,No,No,None,20.81345591541058,56.78692481578592,3.866669702107559,36.73545298615527
Commercial,45,13,No,Negligence,Medium,25,4,Yes,15,10,No,Yes,1-3 years,24.25539067764328,99.4,1.3682674131301418,36.49545421214899
Residential,49,14,No,Negligence,Medium,38,4,No,12,12,No,Yes,None,27.659328694206145,83.9984809808067,0.8671108190054053,10.59884064868021
Commercial,18,6,No,Chemical,Medium,27,5,Yes,6,13,No,No,None,15.1,53.67338154349775,4.605460889688502,26.679453424478798
Residential,22,7,Yes,Electrical,Medium,3,10,Yes,8,10,No,No,Over 3 years,16.885546358073327,91.3167163729404,1.9685244136253404,56.27656208555787
Industrial,26,7,Yes,Chemical,Small,46,1,Yes,4,9,No,No,Over 3 years,23.97346798847377,69.28635064329316,3.833842224339856,37.740129789071645
Commercial,33,9,No,Negligence,Medium,18,9,Yes,8,8,No,No,Within 1 year,25.443948744037748,62.31985055303635,3.1080705792730856,48.25499471651719
Commercial,31,9,No,Electrical,Medium,48,7,No,7,10,No,No,None,19.723105229462995,50.37924593889219,4.248705918627289,6.940645444800886
Industrial,40,11,No,Electrical,Medium,38,10,Yes,11,15,No,No,Within 1 year,21.98883396715065,79.38081450283302,1.0933764370460877,41.709219927774285
Commercial,31,8,No,Negligence,Small,25,6,Yes,9,10,No,No,None,20.4340200271852,66.26409337588376,2.2721625667324434,19.28083931718368
Residential,26,8,No,Negligence,Medium,5,4,No,8,6,No,Yes,Within 1 year,20.98067860292395,66.54310980645663,2.705426454531757,2.3
Commercial,24,7,Yes,Chemical,Medium,16,4,No,3,0,No,Yes,None,15.513910067918667,65.78110824967776,1.2871082628768882,49.821433698770925
Residential,48,14,No,Negligence,Small,43,2,No,13,8,Yes,No,Over 3 years,19.85305450654689,93.96295886579456,1.124957110856621,48.33739974124395
Residential,38,11,Yes,Chemical,Medium,16,2,No,7,14,No,No,None,25.72201892201275,55.74440348610905,2.4350074857579447,6.934847069143494
Commercial,21,6,No,Chemical,Medium,40,2,Yes,3,1,No,Yes,Over 3 years,20.771950180886098,90.15252303037748,1.9253565683680212,48.00198991119272
Residential,15,4,No,Chemical,Medium,44,3,Yes,6,0,No,No,None,16.397368832453967,63.34302742985214,2.332520627963747,29.564770979158816
Residential,23,7,No,Chemical,Medium,15,4,Yes,6,4,No,No,1-3 years,23.489943072690437,92.31576996518616,3.34172395877683,51.29293927819375
Residential,25,7,No,Negligence,Medium,14,8,No,6,5,No,Yes,Over 3 years,26.27434248906706,57.62474359746573,2.122094044983573,35.913487677213126
Residential,18,5,No,Chemical,Small,4,9,Yes,8,4,No,No,Within 1 year,20.02270298578892,57.79859997718686,2.6372575567886365,47.75781705152137
Commercial,13,4,Yes,Chemical,Small,19,6,Yes,2,0,No,No,Over 3 years,18.253443889419973,77.3670434293549,3.3833255605336805,47.12982373509005
Residential,35,10,No,Negligence,Small,32,8,Yes,14,12,No,Yes,None,22.59004324638002,84.23060979313405,1.5426920205933234,22.181159746449183
Commercial,31,9,No,Negligence,Medium,39,6,Yes,6,6,Yes,No,1-3 years,23.32163170805012,47.38403342646642,2.7487096329632537,43.9388254597283
Residential,30,8,No,Negligence,Small,13,10,No,11,5,No,Yes,Over 3 years,19.518377716713932,82.4788176776986,3.224481626736286,71.6285239454458
Commercial,49,14,No,Electrical,Large,37,3,No,13,11,No,No,None,25.940706188642373,70.35641129783421,3.005457108039888,20.54619403660639
Residential,35,10,Yes,Negligence,Small,31,5,Yes,12,10,No,No,1-3 years,15.1,56.5694037070412,2.293652483730365,2.3
Commercial,32,9,Yes,Chemical,Small,17,8,Yes,7,4,Yes,Yes,None,21.70777450320262,72.39776505188553,2.5113150781993783,57.3946081407654
Commercial,49,14,Yes,Negligence,Medium,35,1,No,11,9,Yes,Yes,1-3 years,18.325899798275643,68.11691282117354,3.536792238830676,44.49539556266674
Commercial,17,4,No,Negligence,Small,28,10,Yes,5,0,No,Yes,Within 1 year,24.031436212997264,79.55319562129672,1.2883601161612916,2.3
Residential,25,7,No,Chemical,Medium,28,6,Yes,12,13,Yes,Yes,Over 3 years,18.125974095178748,47.959482047584814,1.928200815947946,70.06943110986911
Residential,41,12,No,Chemical,Medium,18,4,Yes,10,15,No,No,Over 3 years,25.198946235440104,57.19611072370117,4.9,20.430662322093998
Residential,29,9,No,Negligence,Medium,19,8,Yes,8,9,No,No,Over 3 years,24.24268533886999,83.95786004568922,1.0192449781639292,4.610661622285061
Residential,13,4,No,Negligence,Small,14,8,Yes,4,0,No,No,None,20.74187517424941,59.334588570296106,1.7023470056865788,20.556377031981143
Commercial,23,7,Yes,Negligence,Medium,32,6,Yes,11,9,Yes,No,Over 3 years,17.68946892726525,97.705915171761,3.104757835920781,78.9165213238126
Industrial,10,3,Yes,Chemical,Medium,29,8,Yes,1,1,No,No,Over 3 years,20.812600716145862,50.22338601612314,3.0785512997190723,75.99708385051392
Residential,27,8,No,Chemical,Large,22,9,Yes,7,13,No,Yes,Within 1 year,21.78962781851917,62.43434964519281,2.9201401612189315,26.80039238533773
Residential,5,2,No,Electrical,Medium,15,10,Yes,6,3,No,Yes,Over 3 years,15.1,89.76289482434362,2.8694078290709832,17.056363548669868
Commercial,22,7,No,Electrical,Large,27,5,No,5,10,No,Yes,None,24.30318508212692,87.40671131424551,3.517871609621793,67.45020950467614
Residential,8,2,No,Negligence,Small,31,5,Yes,4,2,No,Yes,Over 3 years,21.873902748722426,69.63445622472189,2.898037360282371,27.74231903620924
Residential,16,5,No,Chemical,Medium,42,4,Yes,9,13,No,Yes,None,28.51669674703107,99.4,3.457382246267678,67.85188827099941
Residential,25,8,No,Negligence,Medium,29,8,Yes,11,9,Yes,Yes,Over 3 years,27.40164003781597,81.82999339733645,1.0756972698786231,92.12030063756028
Residential,37,11,No,Negligence,Small,26,5,Yes,11,9,No,Yes,Over 3 years,23.675756474834888,64.38775839083762,2.8920796096267534,26.08530389472581
Commercial,40,12,No,Chemical,Medium,0,6,Yes,7,9,No,No,Within 1 year,21.156708130387045,62.47214713712816,0.6,2.3
Commercial,5,1,Yes,Negligence,Medium,42,7,Yes,1,0,No,No,None,25.823748304991163,88.14133184550144,1.5792321220075358,41.39284645028249
Residential,26,7,No,Chemical,Large,39,7,Yes,8,3,No,Yes,None,24.30662378332277,70.85634401325848,1.346226355141451,34.16167216490801
Residential,15,4,No,Electrical,Medium,36,4,Yes,6,12,No,No,None,17.9434932577161,73.04489294743567,3.0370112255462263,29.314879149302453
Commercial,38,11,No,Chemical,Large,9,9,No,10,6,No,No,None,27.99847492892323,79.87840198011071,1.9977663498662253,2.3
Residential,31,8,Yes,Electrical,Small,25,8,Yes,12,11,Yes,Yes,Over 3 years,20.846316007224445,87.68331944667545,1.8989030999686176,46.21794626305104
Industrial,47,14,Yes,Chemical,Small,38,1,Yes,11,10,No,Yes,Within 1 year,22.134546615470263,77.78487997615686,4.503527389335257,54.57698314574479
Commercial,37,11,Yes,Negligence,Medium,27,5,Yes,7,4,No,No,None,26.02433298731487,65.80602903813173,3.834646896864165,42.973771000906666
Commercial,32,9,Yes,Negligence,Large,31,2,Yes,1,0,No,No,Over 3 years,26.13568929509321,83.19069896372503,1.8141082591595783,27.024147275479883
Commercial,25,7,No,Negligence,Large,49,6,Yes,6,5,No,No,Over 3 years,22.594184156016183,87.09538485057251,0.9937758950137904,26.333574510983592
Commercial,15,5,Yes,Electrical,Small,15,5,No,1,0,Yes,No,Over 3 years,26.553463477400637,71.10210953833327,3.8555368411876,2.3
Commercial,17,5,No,Chemical,Small,37,5,Yes,7,6,No,No,None,18.734161404831543,71.29322423181043,2.379748400889156,36.48155189395054
Commercial,26,7,No,Chemical,Small,0,7,Yes,8,10,No,No,Over 3 years,23.23128308576125,62.673856042916,1.8350040485419583,47.27790106589448
Residential,20,6,No,Negligence,Medium,32,6,Yes,5,2,No,Yes,1-3 years,17.514788232601873,66.63647844529183,2.1423260747225026,50.48969341103752
Commercial,39,11,No,Electrical,Medium,20,10,No,12,2,No,No,1-3 years,20.30554069565761,66.52970718300745,4.9,33.348142023479255
Commercial,39,12,No,Negligence,Medium,3,8,Yes,13,5,No,No,Over 3 years,16.27172303037021,67.29912310430393,4.251182893365368,28.469001404264937
Commercial,45,13,Yes,Negligence,Medium,10,7,No,10,3,No,No,Over 3 years,22.96964053563045,62.63671803159831,3.616554332718442,31.52605694334399
Commercial,20,7,Yes,Electrical,Medium,29,8,Yes,8,11,Yes,Yes,None,24.29167813082778,87.75973260055532,3.420781823355309,70.64568457670433
Residential,39,11,No,Chemical,Medium,27,7,No,8,9,No,No,Within 1 year,25.59899962659124,66.84126517113774,2.895344160724648,9.36511716318962
Residential,35,9,No,Negligence,Medium,2,6,No,4,0,No,No,None,18.94017192630745,40.4,2.882252382728941,2.3
Residential,8,3,No,Negligence,Medium,10,10,No,6,8,Yes,No,None,25.53363349027047,71.96434845699697,2.2092280449805703,59.9632777670358
Industrial,42,12,No,Negligence,Small,31,7,No,4,3,No,No,Over 3 years,16.910746929196574,64.82869288279748,1.8145071488979163,2.3
Commercial,17,5,Yes,Negligence,Medium,15,7,No,5,6,No,No,None,22.79623917019368,98.5926553848224,2.270860731446432,57.23091024375556
Commercial,33,9,Yes,Chemical,Medium,16,8,Yes,7,0,No,No,Over 3 years,15.1,66.67980349033165,2.706560234893731,32.12341363974398
Commercial,39,10,Yes,Negligence,Small,42,5,Yes,11,6,No,No,Within 1 year,15.805952346200282,76.72997939178404,3.175023634575284,32.31487202021853
Commercial,32,9,No,Negligence,Large,29,6,No,11,15,No,No,None,21.984945527262845,70.84047661196173,3.828430964635894,37.15187861499608
Commercial,32,9,Yes,Negligence,Large,14,5,Yes,4,4,No,No,Over 3 years,24.08638031055777,75.90741841568932,1.9382414082774355,38.236917638501446
Commercial,26,7,No,Chemical,Small,48,6,Yes,8,11,No,No,Within 1 year,20.80767484145425,45.42935961816268,2.270020569813374,2.3
Residential,28,8,No,Chemical,Small,37,6,No,6,8,No,Yes,1-3 years,21.13860233080349,56.208812421780095,2.4460837735994256,46.81794991772004
Residential,15,4,No,Chemical,Medium,8,6,Yes,5,2,No,No,None,15.1,54.67040510161523,2.046307315828779,42.76483163318382
Commercial,32,9,No,Electrical,Medium,13,10,Yes,8,6,No,No,Over 3 years,20.455559213433187,66.58062701983198,2.531169095226019,48.54501749678811
Industrial,36,11,Yes,Chemical,Medium,17,5,No,8,12,Yes,No,None,23.13423661548672,64.15334484031459,1.4043342462984494,53.59941348045186
Residential,49,14,No,Negligence,Medium,33,4,Yes,14,12,No,Yes,None,20.791558669715084,69.67281973719355,1.990478389417944,2.3
Residential,6,2,No,Chemical,Small,18,7,Yes,4,3,No,No,None,15.900173262174649,70.52548439069692,1.4064810636798095,17.96893500726819
Commercial,37,10,No,Chemical,Medium,37,4,No,9,7,Yes,No,None,21.467054643851533,69.42409101167647,1.829494693497243,46.30605673763698
Industrial,25,7,Yes,Negligence,Small,24,6,Yes,6,15,Yes,Yes,None,27.60030332599572,73.94862154014467,4.808407095629921,2.3
Residential,16,4,No,Negligence,Small,21,7,Yes,8,7,No,No,Within 1 year,15.1,59.11647806242139,2.5141989258536146,94.1
Residential,16,5,No,Chemical,Small,14,5,No,4,2,No,No,Over 3 years,20.997554335089472,53.19072592622922,2.880765924811881,35.53636492615173
Commercial,22,6,Yes,Negligence,Small,14,8,No,8,15,Yes,No,1-3 years,29.7,71.50451601911828,3.223892200798306,19.12020306163068
